Keyword,Type,Lead Magnet Name,Description,Delivery Method,Tier,HTML File,PDF File,Status
TOOLS,DM,The AI Freelancer Tool Stack,"Every tool organized by category with pricing and free alternatives. Phases for $0 to $5K+ monthly.",Auto-DM link to PDF,Tier 1 - DM Gated,lead_magnets/guides/tools_stack.html,lead_magnets/pdfs/tools_stack.pdf,Built
PRICING,DM,Value Pricing Discovery Call Script,"Word-for-word script for discovery calls. How to ask the right questions and present project pricing.",Auto-DM link to PDF,Tier 1 - DM Gated,lead_magnets/guides/pricing_script.html,lead_magnets/pdfs/pricing_script.pdf,Built
SOP,DM,AI SOP Generator Prompt Pack,"5 copy-paste prompts that turn transcripts/notes into formatted SOPs.",Auto-DM link to PDF,Tier 1 - DM Gated,lead_magnets/guides/sop_prompts.html,lead_magnets/pdfs/sop_prompts.pdf,Built
CLAUDE,DM,CLAUDE.md Mega Pack (10 Files),"10 ready-to-use CLAUDE.md files: proposal writer / cold email / SOP generator / content writer / CRM cleaner / onboarding / discovery prep / reports / scope writer / freelancer manager.",Auto-DM link to PDF + individual .md files,Tier 1 - DM Gated,lead_magnets/claude_md_pack_combined.html,lead_magnets/pdfs/claude_md_pack.pdf,Built
AUDIT,DM,Free 15-Min Automation Audit,"Live call — look at their business and show what to automate first.",Calendly link,Tier 1 - DM Gated,N/A - live call,N/A - live call,Built
CRM,DM,ClickUp Freelancer CRM Template,"Full CRM template: pipeline / client tracking / automations / dashboard. What agencies charge $500+ to set up.",Auto-DM link to PDF,Tier 1 - DM Gated,lead_magnets/templates/clickup_crm.html,lead_magnets/pdfs/clickup_crm.pdf,Built
AUTOMATION,DM,5 n8n Workflow Templates — Setup Guides,"5 step-by-step n8n recreation guides: lead follow-up / weekly reports / onboarding / content repurposer / invoice reminders.",Auto-DM link to PDF,Tier 1 - DM Gated,lead_magnets/templates/n8n_guide.html,lead_magnets/pdfs/n8n_guide.pdf,Built
SEQUENCE,DM,n8n 3-Email Follow-Up Template,"Working n8n JSON workflow + 3 email templates. Import and run in 10 minutes.",Auto-DM link to JSON + PDF,Tier 1 - DM Gated,lead_magnets/templates/n8n_guide.html,lead_magnets/pdfs/n8n_guide.pdf,Built
PROFILE,Comment,Upwork Profile Template,"Fill-in-the-blank template for headline / bio / portfolio / skills with examples at different experience levels.",Auto-DM link to PDF,Tier 2 - Comment Gated,lead_magnets/templates/upwork_profile.html,lead_magnets/pdfs/upwork_profile.pdf,Built
PROPOSAL,Comment,4-Line Proposal Template,"The 4-line proposal format with blanks to fill + 3 example proposals for different niches.",Auto-DM link to PDF,Tier 2 - Comment Gated,lead_magnets/templates/proposal_template.html,lead_magnets/pdfs/proposal_template.pdf,Built
HOOKS,Comment,50 Proven Video Hooks,"50 hooks organized by category (origin / teaching / contrarian / results / question) with fill-in-the-blank format.",Auto-DM link to PDF,Tier 2 - Comment Gated,lead_magnets/guides/50_hooks.html,lead_magnets/pdfs/50_hooks.pdf,Built
EMAILS,Comment,10 Cold Email Templates,"10 ready-to-send templates: first outreach / follow-ups / post-call / testimonial ask / referral / re-engagement / monthly check-in.",Auto-DM link to PDF,Tier 2 - Comment Gated,lead_magnets/guides/cold_emails.html,lead_magnets/pdfs/cold_emails.pdf,Built
START,Link in Bio,Zero-to-First-Client 7-Day Guide,"Complete 7-day plan: day-by-day breakdown / tool links / prompt templates / portfolio ideas / profile setup / first 10 proposals.",Always available via link in bio,Tier 3 - Free on Profile,lead_magnets/guides/starter_guide.html,lead_magnets/pdfs/starter_guide.pdf,Built
NICHE,Link in Bio,Niche Selection Worksheet,"Scoring worksheet: skills / industries / demand / budget / competition — auto-ranked niche suggestions.",Always available via link in bio,Tier 3 - Free on Profile,lead_magnets/guides/niche_worksheet.html,lead_magnets/pdfs/niche_worksheet.pdf,Built
CV,Portfolio,Professional CV / Resume,"Full CV with metrics / results / methodology / client industries / technical skills.",Available on request,Portfolio,lead_magnets/cv_tarun.html,lead_magnets/pdfs/cv_tarun.pdf,Built
